material,Z_material,A_material,Z,A,parameter_1,parameter_2,parameter_3,parameter_4,parameter_5,parameter_6,parameter_7,parameter_8,parameter_9,parameter_10,parameter_11,parameter_12
Silicium,14.0,28.0855,50.,120.,1.436,0.5938,0.007624,0.02145,0.002982,-0.0007122,-2.261,1.268,0.4696,-0.2123,0.03089,-0.001544
Silicium,14.0,28.0855,51.,121.,1.429,0.5921,0.006636,0.02145,0.003003,-0.0007126,-2.251,1.262,0.4784,-0.2158,0.03147,-0.001577
Silicium,14.0,28.0855,52.,130.,1.486,0.5908,0.005582,0.02147,0.003021,-0.0007128,-2.317,1.191,0.5292,-0.2273,0.03251,-0.001607
Silicium,14.0,28.0855,53.,127.,1.449,0.589,0.004728,0.02146,0.003037,-0.0007126,-2.272,1.219,0.5165,-0.2267,0.03283,-0.00164
Silicium,14.0,28.0855,54.,132.,1.473,0.5876,0.003812,0.02147,0.003048,-0.0007121,-2.299,1.181,0.546,-0.2341,0.03361,-0.001671
Silicium,14.0,28.0855,55.,133.,1.467,0.5861,0.002967,0.02148,0.003057,-0.0007112,-2.29,1.176,0.5543,-0.2374,0.03416,-0.001702
Silicium,14.0,28.0855,56.,138.,1.49,0.5848,0.002138,0.02149,0.003061,-0.0007097,-2.314,1.137,0.5831,-0.2445,0.03491,-0.001731
Silicium,14.0,28.0855,57.,139.,1.484,0.5833,0.001362,0.02149,0.003066,-0.0007084,-2.305,1.132,0.5908,-0.2477,0.03543,-0.001761
Silicium,14.0,28.0855,58.,140.,1.479,0.582,0.0006243,0.0215,0.003068,-0.0007068,-2.297,1.128,0.5982,-0.2507,0.03593,-0.00179
Silicium,14.0,28.0855,59.,141.,1.473,0.5806,-8.131e-05,0.02151,0.003067,-0.0007047,-2.289,1.123,0.6056,-0.2538,0.03643,-0.001819
Silicium,14.0,28.0855,60.,142.,1.468,0.5793,-0.0007548,0.02151,0.003065,-0.0007025,-2.282,1.119,0.6124,-0.2566,0.0369,-0.001847
Silicium,14.0,28.0855,61.,145.,1.476,0.5782,-0.001427,0.02152,0.00306,-0.0007001,-2.289,1.098,0.6298,-0.2614,0.03748,-0.001874
Silicium,14.0,28.0855,62.,152.,1.51,0.5777,-0.002152,0.02148,0.003067,-0.0006987,-2.322,1.045,0.6646,-0.2688,0.03811,-0.001889
Silicium,14.0,28.0855,63.,153.,1.505,0.5766,-0.00274,0.02148,0.003058,-0.0006957,-2.315,1.042,0.6704,-0.2713,0.03853,-0.001914
Silicium,14.0,28.0855,64.,158.,1.526,0.5756,-0.003348,0.02149,0.003049,-0.0006928,-2.333,1.004,0.6968,-0.2775,0.03915,-0.001937
Silicium,14.0,28.0855,65.,159.,1.521,0.5746,-0.003902,0.02148,0.003039,-0.0006897,-2.326,1.0,0.7025,-0.2799,0.03956,-0.001961
Silicium,14.0,28.0855,66.,164.,1.54,0.5737,-0.004456,0.02148,0.003027,-0.0006864,-2.342,0.9625,0.7282,-0.2859,0.04015,-0.001982
Silicium,14.0,28.0855,67.,165.,1.535,0.5728,-0.004953,0.02148,0.003013,-0.0006829,-2.336,0.9603,0.733,-0.2879,0.04051,-0.002003
Silicium,14.0,28.0855,68.,166.,1.53,0.5719,-0.005431,0.02147,0.003,-0.0006792,-2.329,0.9585,0.7373,-0.2899,0.04085,-0.002023
Silicium,14.0,28.0855,69.,169.,1.537,0.5711,-0.005902,0.02146,0.002984,-0.0006755,-2.334,0.939,0.7518,-0.2936,0.04128,-0.002043
Silicium,14.0,28.0855,70.,174.,1.556,0.5704,-0.006375,0.02146,0.002967,-0.0006715,-2.348,0.9017,0.7762,-0.2991,0.04181,-0.00206
Silicium,14.0,28.0855,71.,175.,1.551,0.5696,-0.006791,0.02144,0.00295,-0.0006676,-2.342,0.9006,0.7797,-0.3008,0.0421,-0.002078
Silicium,14.0,28.0855,72.,180.,1.569,0.5689,-0.007226,0.02144,0.002931,-0.0006633,-2.355,0.8638,0.8034,-0.306,0.0426,-0.002094
Silicium,14.0,28.0855,73.,181.,1.565,0.5682,-0.0076,0.02142,0.00291,-0.0006588,-2.349,0.8629,0.8065,-0.3075,0.04286,-0.002111
Silicium,14.0,28.0855,74.,184.,1.571,0.5676,-0.007972,0.02141,0.00289,-0.0006544,-2.353,0.845,0.819,-0.3106,0.0432,-0.002125
Silicium,14.0,28.0855,75.,187.,1.578,0.5671,-0.008334,0.02139,0.002869,-0.0006499,-2.356,0.827,0.8315,-0.3136,0.04353,-0.002139
Silicium,14.0,28.0855,76.,192.,1.594,0.5666,-0.008685,0.02137,0.002846,-0.0006452,-2.367,0.7919,0.853,-0.3182,0.04394,-0.00215
Silicium,14.0,28.0855,77.,193.,1.591,0.5656,-0.009009,0.02139,0.002814,-0.0006398,-2.362,0.7878,0.859,-0.3205,0.04432,-0.002172
Silicium,14.0,28.0855,78.,195.,1.591,0.5652,-0.009307,0.02136,0.002793,-0.0006351,-2.361,0.7807,0.8644,-0.322,0.0445,-0.002181
Silicium,14.0,28.0855,79.,197.,1.592,0.5648,-0.009596,0.02133,0.00277,-0.0006302,-2.359,0.7733,0.8699,-0.3235,0.04468,-0.00219
Silicium,14.0,28.0855,80.,202.,1.608,0.5645,-0.009885,0.0213,0.002745,-0.0006252,-2.369,0.7402,0.8894,-0.3274,0.04499,-0.002197
Silicium,14.0,28.0855,81.,205.,1.614,0.5642,-0.01014,0.02127,0.002721,-0.0006201,-2.371,0.725,0.8988,-0.3294,0.04518,-0.002204
Silicium,14.0,28.0855,82.,208.,1.619,0.5639,-0.0104,0.02123,0.002697,-0.0006151,-2.373,0.7099,0.908,-0.3314,0.04536,-0.00221
Silicium,14.0,28.0855,83.,209.,1.615,0.5636,-0.01063,0.02119,0.002673,-0.00061,-2.368,0.7128,0.9073,-0.3315,0.04542,-0.002215
