energy_per_nucleon_mev,range_micron,A,Z,Z_material,A_material
55.0,8552.863436123347,4,2,22,48
60.0,9969.162995594714,4,2,22,48
65.0,11480.176211453743,4,2,22,48
70.0,13077.092511013216,4,2,22,48
80.0,16533.03964757709,4,2,22,48
90.0,20323.788546255506,4,2,22,48
100.0,24429.5154185022,4,2,22,48
150.0,49354.62555066079,4,2,22,48
200.0,80742.29074889868,4,2,22,48
250.0,117418.50220264317,4,2,22,48
300.0,158561.67400881057,4,2,22,48
350.0,203579.295154185,4,2,22,48
400.0,251982.37885462554,4,2,22,48
450.0,303365.63876651984,4,2,22,48
500.0,357387.66519823787,4,2,22,48
2.5,29.972183588317108,4,2,24,52
3.0,39.554937413073716,4,2,24,52
3.5,50.26425591098749,4,2,24,52
4.0,62.058414464534074,4,2,24,52
4.5,74.92350486787204,4,2,24,52
5.0,88.81780250347705,4,2,24,52
5.5,103.74130737134911,4,2,24,52
6.0,119.6662030598053,4,2,24,52
6.5,136.56467315716273,4,2,24,52
7.0,15.368567454798333,4,2,24,52
8.0,191.98887343532684,4,2,24,52
9.0,235.47983310152992,4,2,24,52
10.0,281.5438108484006,4,2,24,52
11.0,331.1961057023644,4,2,24,52
12.0,384.3949930458971,4,2,24,52
15.0,564.5340751043116,4,2,24,52
20.0,930.7371349095968,4,2,24,52
25.0,1375.104311543811,4,2,24,52
30.0,1893.741307371349,4,2,24,52
35.0,2483.4492350486785,4,2,24,52
40.0,3141.8636995827537,4,2,24,52
45.0,3865.0904033379697,4,2,24,52
50.0,4653.685674547984,4,2,24,52
55.0,5503.4770514603615,4,2,24,52
60.0,6413.07371349096,4,2,24,52
65.0,7381.084840055633,4,2,24,52
70.0,8407.510431154382,4,2,24,52
80.0,10624.478442280946,4,2,24,52
90.0,13052.851182197497,4,2,24,52
100.0,15687.065368567455,4,2,24,52
150.0,31653.685674547985,4,2,24,52
200.0,51766.3421418637,4,2,24,52
250.0,75477.05146036162,4,2,24,52
300.0,102369.95827538248,4,2,24,52
350.0,131880.38942976357,4,2,24,52
400.0,163578.58136300417,4,2,24,52
450.0,197197.49652294855,4,2,24,52
500.0,232506.25869262865,4,2,24,52
2.5,28.041656083312166,4,2,26,56
3.0,36.96977393954788,4,2,26,56
3.5,46.93929387858776,4,2,26,56
4.0,57.899415798831605,4,2,26,56
4.5,69.83743967487935,4,2,26,56
5.0,82.74066548133096,4,2,26,56
5.5,96.58369316738633,4,2,26,56
6.0,111.34112268224537,4,2,26,56
6.5,127.01295402590806,4,2,26,56
7.0,143.5737871475743,4,2,26,56
8.0,179.3497586995174,4,2,26,56
9.0,218.56743713487427,4,2,26,56
10.0,261.1506223012446,4,2,26,56
11.0,307.0485140970282,4,2,26,56
12.0,356.1849123698247,4,2,26,56
15.0,522.4790449580898,4,2,26,56
20.0,860.1727203454407,4,2,26,56
25.0,1269.6215392430786,4,2,26,56
30.0,1747.1424942849887,4,2,26,56
35.0,2289.814579629159,4,2,26,56
40.0,2895.6057912115825,4,2,26,56
45.0,3561.0871221742445,4,2,26,56
50.0,4284.98856997714,4,2,26,56
55.0,5066.040132080264,4,2,26,56
60.0,5901.701803403607,4,2,26,56
65.0,6791.973583947168,4,2,26,56
70.0,7733.045466090933,4,2,26,56
80.0,9767.589535179071,4,2,26,56
90.0,11997.713995427992,4,2,26,56
100.0,14413.258826517653,4,2,26,56
150.0,29053.848107696216,4,2,26,56
200.0,47444.75488950978,4,2,26,56
250.0,68887.47777495555,4,2,26,56
300.0,92924.8158496317,4,2,26,56
350.0,119215.13843027686,4,2,26,56
400.0,147466.34493268986,4,2,26,56
450.0,177454.91490982982,4,2,26,56
500.0,208966.21793243586,4,2,26,56
2.5,25.589755111210966,4,2,28,58
3.0,33.610424623680075,4,2,28,58
3.5,42.529768591327795,4,2,28,58
4.0,52.336553583464394,4,2,28,58
4.5,62.997079308020666,4,2,28,58
5.0,74.48887890361716,4,2,28,58
5.5,86.81195237025388,4,2,28,58
6.0,99.94383284655133,4,2,28,58
6.5,113.87328690181982,4,2,28,58
7.0,128.5890811053696,4,2,28,58
8.0,160.3235228038643,4,2,28,58
9.0,195.09099078858682,4,2,28,58
10.0,232.80161761401934,4,2,28,58
11.0,273.4104695574028,4,2,28,58
12.0,316.8613794652887,4,2,28,58
15.0,462.9184452931925,4,2,28,58
20.0,761.6266007638733,4,2,28,58
25.0,1122.2197259042912,4,2,28,58
30.0,1542.5747023140868,4,2,28,58
35.0,2019.8831723208266,4,2,28,58
40.0,2552.2354527072566,4,2,28,58
45.0,3136.3738485733543,4,2,28,58
50.0,3773.3093686811953,4,2,28,58
55.0,4458.548640754887,4,2,28,58
60.0,5192.091664794429,4,2,28,58
65.0,5972.815097730847,4,2,28,58
70.0,6799.59559649517,4,2,28,58
80.0,8584.587733093687,4,2,28,58
90.0,10539.204673107168,4,2,28,58
100.0,12656.70635812177,4,2,28,58
150.0,25477.42080431364,4,2,28,58
200.0,41559.20017973489,4,2,28,58
250.0,60296.562570208946,4,2,28,58
300.0,81295.21455852618,4,2,28,58
350.0,104252.97685913277,4,2,28,58
400.0,128919.34396764771,4,2,28,58
450.0,155089.86744551786,4,2,28,58
500.0,182588.1824309144,4,2,28,58
2.5,27.08705357142857,4,2,29,63
3.0,35.546875,4,2,29,63
3.5,44.955357142857146,4,2,29,63
4.0,55.279017857142854,4,2,29,63
4.5,66.51785714285714,4,2,29,63
5.0,78.62723214285714,4,2,29,63
5.5,91.59598214285714,4,2,29,63
6.0,105.41294642857143,4,2,29,63
6.5,120.06696428571428,4,2,29,63
7.0,135.546875,4,2,29,63
8.0,168.92857142857144,4,2,29,63
9.0,205.47991071428572,4,2,29,63
10.0,245.12276785714283,4,2,29,63
11.0,287.8013392857143,4,2,29,63
12.0,333.4598214285714,4,2,29,63
15.0,487.83482142857144,4,2,29,63
20.0,800.4464285714286,4,2,29,63
25.0,1178.90625,4,2,29,63
30.0,1619.8660714285716,4,2,29,63
35.0,2120.4241071428573,4,2,29,63
40.0,2678.5714285714284,4,2,29,63
45.0,3291.2946428571427,4,2,29,63
50.0,3958.705357142857,4,2,29,63
55.0,4676.339285714285,4,2,29,63
60.0,5445.3125,4,2,29,63
65.0,6263.392857142857,4,2,29,63
70.0,7129.464285714285,4,2,29,63
80.0,8998.883928571428,4,2,29,63
90.0,11046.875,4,2,29,63
100.0,13264.508928571428,4,2,29,63
150.0,26686.383928571428,4,2,29,63
200.0,43531.25,4,2,29,63
250.0,63164.0625,4,2,29,63
300.0,85160.71428571429,4,2,29,63
350.0,109203.125,4,2,29,63
400.0,135031.25,4,2,29,63
450.0,172473.2142857143,4,2,29,63
500.0,191210.9375,4,2,29,63
2.5,46.85327822656397,4,2,32,72
3.0,61.80725154987788,4,2,32,72
3.5,78.45200075145594,4,2,32,72
4.0,96.69359383806125,4,2,32,72
4.5,116.51324441104641,4,2,32,72
5.0,137.87337967311666,4,2,32,72
5.5,160.75521322562463,4,2,32,72
6.0,185.1211722712756,4,2,32,72
6.5,210.93368401277476,4,2,32,72
7.0,238.21153484876947,4,2,32,72
8.0,296.97538981777194,4,2,32,72
9.0,361.30001878639865,4,2,32,72
10.0,431.0351305654706,4,2,32,72
11.0,506.08679316175085,4,2,32,72
12.0,586.3422881833553,4,2,32,72
15.0,857.4112342663911,4,2,32,72
20.0,1402.5925230133385,4,2,32,72
25.0,2070.2611309411986,4,2,32,72
30.0,2843.1335712943833,4,2,32,72
35.0,3720.4583881269964,4,2,32,72
40.0,4698.478301709562,4,2,32,72
45.0,5771.181664474921,4,2,32,72
50.0,6939.695660341912,4,2,32,72
55.0,8196.505729851588,4,2,32,72
60.0,9543.490512868682,4,2,32,72
65.0,10975.014089798986,4,2,32,72
70.0,12489.197820777757,4,2,32,72
80.0,15759.909825286493,4,2,32,72
90.0,19340.597407476987,4,2,32,72
100.0,23219.988728160813,4,2,32,72
150.0,46682.321998872816,4,2,32,72
200.0,75502.53616381739,4,2,32,72
250.0,109058.8014277663,4,2,32,72
300.0,146667.2928799549,4,2,32,72
350.0,187788.84087920346,4,2,32,72
400.0,231983.84369716325,4,2,32,72
450.0,279637.42250610556,4,2,32,72
500.0,328179.5979710689,4,2,32,72
2.5,58.62660944206009,7,3,14,28
3.0,77.25321888412017,7,3,14,28
3.5,98.11158798283262,7,3,14,28
4.0,121.1587982832618,7,3,14,28
4.5,146.3519313304721,7,3,14,28
5.0,173.6480686695279,7,3,14,28
5.5,203.00429184549353,7,3,14,28
